,true_slide,latitude,longitude,max_elev_change,median_elev,mean_elev,mean_median_diff,total_elev,median_elev_change,mean_elev_change,total_elev_change,Precip_30_min_before,Precip_60_min_before,Precip_90_min_before,Precip_120_min_before,fire_<=1_year_before,fire_<=3_year_before,fire_<=5_year_before
0,1,40.95733642,-76.66144467,300,217.0,220.40541666666667,3.4054166666666674,12695352,1.0,0.4965829846582985,351564,0.0,0.0,0.0,0.0,0,0,0
1,1,38.03834835,-120.20346151,1269,1150.0,1159.9208854166666,9.920885416666579,66811443,6.0,5.794735006973501,1011510,1.149999976158142,1.149999976158142,1.7683227062225342,1.7384002208709717,0,0,0
2,1,37.95310871,-120.17952012,1506,1022.0,1034.4465104166666,12.44651041666657,59584119,4.0,4.207217573221757,1222350,0.0,0.0,0.0,0.0,0,0,0
3,1,37.64529382,-119.92126051,1509,950.0,967.2120833333333,17.21208333333334,55711416,3.0,3.210495118549512,1434454,0.06269200891256332,0.08017582446336746,0.11999999731779099,0.11999999731779099,0,0,0
4,1,39.76901812,-111.68533871,1950,2266.0,2309.289652777778,43.289652777777974,133015084,-1.0,-0.5562064156206415,1305160,0.0,0.0,0.0,0.0,0,0,0
5,1,34.03720195,-118.72735034,854,90.0,186.02119791666667,96.02119791666667,10714821,0.0,-0.09738493723849373,846202,0.0,0.0,0.0,0.0,1,1,1
6,1,32.440833070000004,-110.78367862,1873,1689.0,1710.4236631944445,21.423663194444543,98520403,2.0,3.3435146443514645,1694724,0.0,0.0,0.0,0.0,0,0,0
7,1,34.045378879999994,-118.93957797,916,0.0,165.19678819444445,165.19678819444445,9515335,0.0,1.4425034867503488,778722,0.0,0.0,0.0,0.0,1,1,1
8,1,43.79141782,-91.11583473,225,291.0,293.7446875,2.7446874999999977,16919694,1.0,1.0152370990237098,660186,0.36424821615219116,0.2199999988079071,0.22999998927116394,0.3400000035762787,0,0,0
9,1,34.18672781,-118.40136589,718,257.0,274.31539930555556,17.31539930555556,15800567,0.0,0.4689679218967922,512780,0.0,0.008000903762876987,0.009999999776482582,0.009999999776482582,0,0,0
10,1,43.90637005,-72.15072667,616,290.0,291.09010416666666,1.0901041666666629,16766790,1.0,0.9429567642956764,636960,0.0,0.0,0.0,0.0,0,0,0
11,1,33.74504855,-117.44523164,1502,551.0,616.045,65.04499999999996,35484192,-2.0,-2.145990237099024,1008778,0.0,0.0,0.0,0.0,0,0,0
12,1,45.90848177,-116.00850793,1345,984.0,1037.115173611111,53.115173611111004,59737834,-2.0,-1.4224546722454672,1010412,0.0,0.5538914203643799,0.6599999666213989,0.6599999666213989,0,0,0
