,Unnamed: 0,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date,elev_files
0,1,4608014,"(-76.66144466499998, 40.95733642400006)",Pennlive,https://www.pennlive.com/news/2020/11/rockslide-cleared-route-11-reopened-between-northumberland-and-danville.html,19487,2020-11-16 19:00:00,unknown,Rockslide on Rte. 11,"road blocked. estimated cost of cleanup: $310,000",X:40.957177 Y:-76.661290,1km,landslide,continuous_rain,medium,above_road,0.0,0.0,,,,LRC,,40.95733642,-76.66144467,United States,US,Pennsylvania,Danville,4.0,2021-03-04 19:06:25,2021-04-10 04:45:33,0.tiff
1,33,4608046,"(-120.20346151399997, 38.038348351000025)",My Mother Lode,https://www.mymotherlode.com/news/local/463389/many-weather-related-traffic-hazards.html,14647,2018-10-04 00:00:00,unknown,Confidence Road Mudslide,Mudslide reported on Confidence Road near Forest Vista Road during wet weather.,"Confidence Road, Twain Harte, California",1km,mudslide,rain,small,above_road,,,,,,GLC,,38.03834835,-120.20346151,United States,US,California,Tuolumne,9.13,2020-06-07 00:33:57.000001,2021-04-10 04:47:09,1.tiff
2,34,4608047,"(-120.17952011699998, 37.95310871300006)",My Mother Lode,https://www.mymotherlode.com/news/local/463389/many-weather-related-traffic-hazards.html,14619,2018-10-05 01:00:00,unknown,Buchanan Road Mudslide,"Following wet weather, a mudslide blocked one lane of Buchanan Road.","Buchanan Rd, Tuolumne County, CA",5km,mudslide,rain,small,above_road,,,,,,GLC,,37.95310871,-120.17952012,United States,US,California,Tuolumne,5.58,2020-06-07 00:33:57.000001,2021-04-10 04:46:21,2.tiff
3,35,4608048,"(-119.921260513, 37.64529382400008)",KTVU,https://www.ktvu.com/news/mudslide-storm-closes-state-route-140-to-yosemite-national-park,14529,2018-10-04 01:00:00,unknown,Route 140 Yosemite Mudslide,Mudslide during storm closes State Route 140 between Bear Creek Bridge and Forest Road. Event occurred in Mendocino Comples and Donnell Fire burn areas.,"Between Bear Creek Bridge and Forest Road, State Route 140, California toward Yosemite National Park.",10km,mudslide,rain,unknown,burned_area,,,,,,GLC,,37.64529382,-119.92126051,United States,US,California,Mariposa Yosemite,18.28,2020-06-07 00:33:57.000001,2021-04-10 04:47:09,3.tiff
5,38,4608051,"(-111.68533870999994, 39.769018122000034)",The Daily Universe,https://universe.byu.edu/2018/10/05/pole-creek-mudslides/,14523,2018-10-05 03:00:00,unknown,Pole Creek Mudslides,4 feet of mud slid down the mountain after fain hit an area burned in the Pole Creek Fire.,"Pole Creek, Juab County, Utah",10km,mudslide,rain,medium,burned_area,,,,,,GLC,,39.76901812,-111.68533871,United States,US,Utah,Utah,12.87,2020-06-06 03:13:48,2021-04-10 04:41:29,5.tiff
6,57,4608070,"(-118.72735033799995, 34.03720194600004)",WDAM,https://www.wdam.com/2018/12/07/storm-brings-flood-fears-southern-california-burn-areas/,14479,2018-12-06 00:00:00,,Right lane of PCH closed,mud flowed from Woolsey burn scar and jammed traffic,PCH,25km,mudslide,rain,small,burned_area,,,,https://www.wdam.com/resizer/zNlOgvX7lfw3NmDAs-Co-gy_SZs=/1400x0/arc-anglerfish-arc2-prod-raycom.s3.amazonaws.com/public/7ZFQ3RANUBHPNORWOFYTXYD2CE.jpg,,'GLC',,34.03720195,-118.72735034,United States,US,California,Santa Monica Municipal,25.72,,2021-04-10 04:47:09,6.tiff
7,60,4608073,"(-110.78367862099998, 32.44083307000005)",Tucson,https://tucson.com/news/local/officials-will-keep-catalina-highway-on-mount-lemmon-closed-friday/article_b78bfe26-f4a9-11e8-a344-83d723c70761.html,14378,2018-11-30 15:00:00,08:00,Rockslides at Mount Lemmon,"Rockslides and slick conditions have resulted in the road up to Mount Lemmon, AZ being closed at the base (milepost zero).","10123-10199 E Radio Ridge Rd, Mount Lemmon, Arizona, 85619",1km,rock_fall,snowfall_snowmelt,small,above_road,0.0,0.0,,,,GLC,,32.440833070000004,-110.78367862,United States,US,Arizona,Oracle,18.9,2020-08-03 14:29:38.000001,2021-04-10 04:48:47,7.tiff
8,64,4608077,"(-118.93957796899997, 34.045378879000054)",Daily News,https://www.dailynews.com/2018/12/06/mudslide-closes-pch-in-malibu-residents-urged-to-shelter-in-place/,14349,2018-12-07 02:00:00,unknown,Leo Carrillo Mudslide,"Mudslide occured near Leo Carrillo State Beach following heavy rain on areas burned by November fires. A car was damage, but the driver was rescued.","36427-37347 Pacific Coast Hwy, Malibu, California, 90265",1km,mudslide,rain,unknown,burned_area,,,,,,GLC,,34.045378879999994,-118.93957797,United States,US,California,Point Mugu Naval Air Station,18.6,2020-07-31 00:37:24.000001,2021-04-10 04:43:52.000001,8.tiff
9,66,4608079,"(-91.11583472999996, 43.79141781900006)",La Crosse Tribune,https://lacrossetribune.com/community/westbytimes/news/heavy-rain-overnight-takes-out-bridge-closes-more-roads/article_835ef541-cc17-5902-99f7-886c0b9c579f.html,14351,2018-09-04 02:00:00,23:00,Coulee Mudslides,"Rain and flooding caused over 48 roads in the Coulee Region to be impassible, many due to mud and rockslides.","Coulee Region, Wisconsin",10km,mudslide,rain,unknown,above_road,,,,,,GLC,,43.79141782,-91.11583473,United States,US,Wisconsin,La Crosse,7.43,2020-08-09 02:14:24,2021-04-10 04:45:33,9.tiff
10,69,4608082,"(-118.40136588999997, 34.18672781200007)",Daily News,https://www.dailynews.com/2018/12/06/mudslide-closes-170-freeway-offramp-in-valley-glen-north-hollywood-area/,14347,2018-12-07 02:00:00,unknown,Victor Boulevard Mudslide,Rain over area burned in November caused mudslide that closed the Victor Boulevard offramp from southbound 170 in Valley Glenn/North Hollywood.,"CA-170 N, North Hollywood, California, 91606",1km,mudslide,rain,unknown,burned_area,,,,,,GLC,,34.18672781,-118.40136589,United States,US,California,Burbank Glendale Pasadena,4.3,2020-07-31 00:37:24.000001,2021-04-10 04:47:57.000001,10.tiff
